,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
984,Season3,loren,0.7,40,4,1
985,Season3,renly,2.18849206349,11,8,1
986,Season6,joffrey,10.8156791126,204,54,34
987,Season6,kevan,0.0,1,0,0
988,Season5,orys,-0.25,4,0,1
989,Season3,white,14.1577119408,400,229,215
990,Season6,otto,1.3526046176,68,29,22
991,Season6,luthor,0.0,1,0,0
992,Season4,olly,46.1908486652,278,186,82
993,Season5,alton,0.93446969697,7,7,5
994,Season2,talia,7.06666666667,46,20,8
995,Season3,tom,93.9236571068,1006,662,439
996,Season3,karl,0.8625,31,8,5
997,Season6,ormund,65.5701316739,356,195,54
998,Season4,edric,1.7,23,3,0
999,Season4,oldman,0.125,5,1,0
1000,Season5,violet,-2.39136363636,5,0,30
1001,Season1,lysa,2.7,14,8,4
1002,Season3,nan,46.8730930412,1040,312,192
1003,Season3,stafford,0.0,2,0,0
1004,Season3,lancel,0.0,3,0,0
1005,Season6,oswell,0.25,2,1,0
1006,Season5,wildling,14.7689466089,81,55,30
1007,Season1,nissa,-0.26875,0,0,2
1008,Season2,moro,-4.88522727273,18,18,20
1009,Season3,lem,90.5574074074,1323,571,368
1010,Season6,duncan,2.93636363636,1,4,1
1011,Season6,oznak,0.0,2,0,0
1012,Season5,daena,-0.771212121212,14,1,2
1013,Season5,selyse,0.0,1,0,0
1014,Season4,jeor,0.0,1,0,0
1015,Season6,joyeuse,0.0,2,0,0
1016,Season5,mance,82.4996230159,103,181,47
1017,Season5,child,27.689724026,215,234,173
1018,Season3,simon,4.51458333333,70,17,6
1019,Season6,daenerys,64.7725392663,958,256,125
1020,Season6,oberyn,2.51666666667,33,6,1
1021,Season6,loboda,0.0,1,0,0
1022,Season6,tansy,0.0,1,0,0
1023,Season5,wallen,-0.0714285714286,1,0,1
1024,Season1,loras,0.8,4,2,0
1025,Season2,robert,6.07222222222,24,14,5
1026,Season3,sam,44.6957919974,815,400,271
1027,Season3,tywin,8.33054022367,75,45,33
1028,Season3,orson,-0.466666666667,0,0,1
1029,Season4,biter,6.24107142857,17,13,0
1030,Season4,pycelle,-0.416666666667,1,1,2
1031,Season5,morgan,3.5125,6,9,2
1032,Season1,merchant,2.0,2,4,0
1033,Season2,smiling,1.0,2,2,0
1034,Season3,balerion,0.285714285714,1,1,0
1035,Season4,ludd,0.275,2,2,1
1036,Season3,shepherd,0.85,3,2,0
1037,Season3,waif,-0.075,0,1,1
1038,Season6,serena,0.0,2,0,0
1039,Season4,lady,41.6416360029,248,195,103
1040,Season4,high,55.1029158249,118,297,81
1041,Season4,damien,0.0,1,0,0
1042,Season6,aegon,1.2,2,2,0
1043,Season2,walda,1.8,2,4,0
1044,Season4,yoren,0.0,2,0,0
1045,Season4,mirri,0.0,1,0,0
1046,Season5,simpson,0.375,12,8,3
1047,Season5,elia,2.57439393939,48,13,5
1048,Season2,theon,11.9148719336,510,242,236
1049,Season4,ethan,2.9466017316,22,16,11
1050,Season4,margaery,3.12329545455,81,23,12
1051,Season4,ronnel,1.0,0,3,0
1052,Season5,aron,-4.18886345136,237,30,39
1053,Season1,ros,301.567675565,1855,1108,404
1054,Season3,styr,1.45,8,3,0
1055,Season4,septon,0.0,3,0,0
1056,Season4,gordy,0.0,2,0,0
1057,Season5,tortured,4.57218614719,7,31,21
1058,Season1,alys,9.64653679654,26,30,8
1059,Season1,robb,8.20296296296,30,34,20
1060,Season2,aggar,1.65,0,6,0
1061,Season2,catelyn,1.6,4,7,2
1062,Season3,nights,97.489888468,425,445,218
1063,Season4,hodor,36.7758910534,362,137,62
1064,Season4,rickon,0.125,4,2,2
1065,Season6,aegor,-0.3,0,0,2
1066,Season5,aenys,0.0,4,0,0
1067,Season1,xaro,1.5,0,2,0
1068,Season2,dongo,0.6,2,2,0
1069,Season3,harlen,0.0,2,0,0
1070,Season1,joffrey,5.28683261183,88,50,44
1071,Season2,master,6.30119949495,39,28,16
1072,Season2,arthur,0.571428571429,1,2,0
1073,Season3,gerhard,0.318181818182,3,2,0
1074,Season6,hugh,2.1,14,5,0
1075,Season6,leaf,1.72380952381,7,9,3
1076,Season6,barristan,-0.25,2,0,2
1077,Season4,rast,7.56547138047,106,67,43
1078,Season4,stannis,1.21666666667,27,9,7
1079,Season1,otto,2.84242424242,22,16,12
1080,Season3,baelish,-0.34375,13,2,2
1081,Season6,summer,13.55065386,107,75,51
1082,Season4,rorge,-0.625,0,0,2
1083,Season5,osha,-2.26363636364,13,4,9
1084,Season3,crane,0.586904761905,4,2,2
1085,Season3,thenn,0.0,1,0,0
1086,Season6,barra,2.40193903319,29,13,6
1087,Season6,billy,1.13402777778,11,5,0
1088,Season6,donnell,0.0,3,0,0
1089,Season4,harren,0.0,3,0,0
1090,Season4,garth,1.0,0,2,0
1091,Season5,myranda,0.0857142857143,8,1,1
1092,Season3,talisa,1.45238095238,3,7,5
1093,Season3,amory,0.0,1,0,0
1094,Season4,lyman,0.0,1,0,0
1095,Season5,jack,6.71619408369,87,41,28
1096,Season3,copper,0.683333333333,3,3,1
1097,Season6,doran,0.525,4,1,1
1098,Season5,gregor,-0.210317460317,5,3,3
1099,Season2,savo,-0.555555555556,8,4,2
1100,Season3,tickler,0.0,11,0,0
1101,Season3,horned,0.0,1,0,0
1102,Season4,nymeria,0.542857142857,5,1,0
1103,Season4,ramsay,-0.750681818182,28,10,6
1104,Season4,water,-11.255501443,108,54,104
1105,Season4,beast,14.1211616162,79,56,31
1106,Season4,cressen,0.25,0,1,0
1107,Season5,ralf,0.0,3,0,0
1108,Season1,daenerys,7.74583333333,34,28,10
1109,Season2,ray,66.3896145984,322,236,95
1110,Season6,despondent,-0.433333333333,0,0,2
1111,Season4,aerys,22.292756549,83,66,15
1112,Season6,axell,0.4,0,2,0
1113,Season3,three,79.4560143098,358,395,222
1114,Season6,silver,4.34693181818,76,20,12
1115,Season6,gared,0.0,2,0,0
1116,Season4,drogo,-31.2632575758,123,46,124
1117,Season4,grey,12.2545833333,75,43,29
1118,Season4,britt,0.1,8,1,0
1119,Season3,karstark,-0.65,1,1,2
1120,Season6,mace,0.332467532468,11,3,1
1121,Season4,,8977.8158066,127782,51077,34443
1122,Season4,baratheon,-49.5073863636,67,15,139
1123,Season4,wex,0.4,1,1,0
1124,Season2,mira,2.8946969697,76,20,18
1125,Season6,arson,0.554166666667,47,8,4
1126,Season6,erik,-1.00858585859,22,4,9
1127,Season5,bones,4.70467171717,30,24,13
1128,Season5,joanna,0.45,2,1,0
1129,Season2,symon,0.636363636364,6,2,0
1130,Season3,walter,-0.85,16,0,2
1131,Season6,soldier,2.36775793651,18,10,5
1132,Season5,morghul,16.5345779221,187,37,14
1133,Season5,brynden,0.1,0,1,0
1134,Season2,damon,0.0,4,0,0
1135,Season2,viserys,-0.025,2,2,2
1136,Season3,steve,13.2588016151,122,55,20
1137,Season3,mandon,0.0,1,0,0
1138,Season3,cotter,0.65,0,1,0
1139,Season4,rhaegar,-0.4,0,0,1
1140,Season5,irri,-2.02836850649,20,13,16
1141,Season1,pyat,0.0,2,0,0
1142,Season3,cooper,5.10858585859,39,14,4
1143,Season6,davos,1.20303030303,15,9,5
